customer_id,recency,frequency,monetary,R_rank_norm,F_rank_norm,M_rank_norm,RFM_Score,segment
12346,325,25,77352.96,28.82,29.8,99.69,69.49,1
12347,2,222,5633.32,97.17,84.85,90.36,89.84,1
12348,75,42,1658.4,54.19,43.97,67.4,58.86,1
12349,18,172,3678.69,80.97,80.21,84.23,82.61,1
12350,310,16,294.4,29.95,19.57,20.32,21.55,0
12351,375,21,300.93,25.68,25.62,20.81,22.89,0
12352,36,95,1729.54,68.89,66.82,68.59,68.14,1
12353,204,24,406.76,38.47,28.77,29.75,30.78,0
12354,232,58,1079.4,36.38,53.2,56.19,52.38,0
12355,214,35,947.61,37.56,38.89,52.36,46.37,0
12356,22,138,5613.68,78.0,75.47,90.26,84.28,1
12357,33,295,17437.66,70.06,89.52,98.02,91.45,1
12358,1,73,3447.07,98.82,59.71,83.22,78.98,1
12359,57,360,8935.94,60.75,92.35,94.51,88.85,1
12360,52,211,3612.89,62.42,83.93,83.9,80.69,1
12361,287,25,451.25,31.44,29.8,32.52,31.6,0
12362,3,256,4737.23,95.6,87.36,88.31,89.14,1
12363,109,23,552.0,48.23,27.7,37.29,36.24,0
12364,7,81,1208.1,91.75,62.63,59.47,65.19,1
12365,291,21,320.69,31.05,25.62,22.97,24.92,0
12366,633,3,500.24,4.35,3.06,34.79,21.34,0
12367,4,10,150.9,93.99,11.83,8.61,22.32,0
12368,628,18,917.7,4.61,22.05,51.16,36.03,0
12369,413,90,1511.15,19.35,65.35,65.24,58.39,0
12370,51,197,3960.31,62.88,82.78,85.44,81.31,1
12371,59,163,3347.38,59.82,79.1,82.59,78.2,1
12372,71,49,1196.04,55.84,48.49,59.11,55.64,1
12373,311,48,927.65,29.8,47.9,51.61,47.3,0
12374,25,81,2669.22,75.21,62.63,78.23,73.41,1
12375,10,15,377.5,87.92,18.32,27.53,34.01,0
12376,389,11,383.15,23.01,13.32,27.94,23.11,0
12377,315,150,3266.32,29.51,77.33,82.06,72.85,1
12378,129,301,5416.32,45.96,89.92,89.87,83.29,1
12379,81,77,1470.22,52.55,61.07,64.66,61.84,1
12380,21,267,7210.65,79.01,88.12,92.98,89.52,1
12381,4,82,1474.81,93.99,62.96,64.71,68.61,1
12383,184,94,1628.56,40.48,66.55,67.07,62.94,1
12384,28,25,425.27,73.75,29.8,31.0,37.08,0
12385,379,64,1668.4,24.95,56.05,67.5,57.91,0
12386,337,10,660.8,28.15,11.83,41.92,31.43,0
12387,415,9,143.94,19.01,10.38,7.86,10.24,0
12388,15,146,3901.11,84.24,76.79,85.22,82.71,1
12389,402,49,1433.33,20.83,48.49,64.08,53.23,0
12390,79,31,504.84,53.08,35.52,34.98,37.84,0
12391,21,259,2773.42,79.01,87.58,78.76,81.27,1
12392,591,7,234.75,6.74,7.81,16.37,12.53,0
12393,72,106,2399.45,55.35,69.4,75.97,71.04,1
12394,63,25,1080.48,58.53,29.8,56.24,49.18,1
12395,19,227,4551.27,80.0,85.31,87.7,85.87,1
12396,674,65,931.43,2.48,56.46,51.71,45.65,0
12397,35,124,2214.9,69.46,72.87,74.23,73.14,1
12398,45,84,1435.66,65.05,63.56,64.1,64.09,1
12399,119,103,1842.3,47.04,68.68,70.27,66.34,1
12400,414,11,205.25,19.17,13.32,13.68,14.4,0
12401,303,4,69.3,30.42,4.04,1.79,6.72,0
12402,323,64,1136.9,28.93,56.05,57.71,52.93,0
12403,49,7,947.36,63.98,7.81,52.34,41.62,0
12405,148,53,1390.39,44.16,50.85,63.26,56.92,1
12406,22,165,6390.36,78.0,79.31,91.71,86.18,1
12407,49,72,1507.12,63.98,59.38,65.05,63.3,1
12408,32,152,3905.77,70.68,77.61,85.25,80.93,1
12409,78,264,23419.29,53.46,87.9,98.68,88.88,1
