customer_id,recency,frequency,monetary,R_rank_norm,F_rank_norm,M_rank_norm,RFM_Score
12346,325,25,77352.96,28.82,29.8,99.69,69.49
12347,2,222,5633.32,97.17,84.85,90.36,89.84
12348,75,42,1658.4,54.19,43.97,67.4,58.86
12349,18,172,3678.69,80.97,80.21,84.23,82.61
12350,310,16,294.4,29.95,19.57,20.32,21.55
12351,375,21,300.93,25.68,25.62,20.81,22.89
12352,36,95,1729.54,68.89,66.82,68.59,68.14
12353,204,24,406.76,38.47,28.77,29.75,30.78
12354,232,58,1079.4,36.38,53.2,56.19,52.38
12355,214,35,947.61,37.56,38.89,52.36,46.37
12356,22,138,5613.68,78.0,75.47,90.26,84.28
12357,33,295,17437.66,70.06,89.52,98.02,91.45
12358,1,73,3447.07,98.82,59.71,83.22,78.98
12359,57,360,8935.94,60.75,92.35,94.51,88.85
12360,52,211,3612.89,62.42,83.93,83.9,80.69
12361,287,25,451.25,31.44,29.8,32.52,31.6
12362,3,256,4737.23,95.6,87.36,88.31,89.14
12363,109,23,552.0,48.23,27.7,37.29,36.24
12364,7,81,1208.1,91.75,62.63,59.47,65.19
12365,291,21,320.69,31.05,25.62,22.97,24.92
12366,633,3,500.24,4.35,3.06,34.79,21.34
12367,4,10,150.9,93.99,11.83,8.61,22.32
12368,628,18,917.7,4.61,22.05,51.16,36.03
12369,413,90,1511.15,19.35,65.35,65.24,58.39
12370,51,197,3960.31,62.88,82.78,85.44,81.31
12371,59,163,3347.38,59.82,79.1,82.59,78.2
12372,71,49,1196.04,55.84,48.49,59.11,55.64
12373,311,48,927.65,29.8,47.9,51.61,47.3
12374,25,81,2669.22,75.21,62.63,78.23,73.41
12375,10,15,377.5,87.92,18.32,27.53,34.01
12376,389,11,383.15,23.01,13.32,27.94,23.11
12377,315,150,3266.32,29.51,77.33,82.06,72.85
12378,129,301,5416.32,45.96,89.92,89.87,83.29
12379,81,77,1470.22,52.55,61.07,64.66,61.84
12380,21,267,7210.65,79.01,88.12,92.98,89.52
12381,4,82,1474.81,93.99,62.96,64.71,68.61
12383,184,94,1628.56,40.48,66.55,67.07,62.94
12384,28,25,425.27,73.75,29.8,31.0,37.08
12385,379,64,1668.4,24.95,56.05,67.5,57.91
12386,337,10,660.8,28.15,11.83,41.92,31.43
12387,415,9,143.94,19.01,10.38,7.86,10.24
12388,15,146,3901.11,84.24,76.79,85.22,82.71
12389,402,49,1433.33,20.83,48.49,64.08,53.23
12390,79,31,504.84,53.08,35.52,34.98,37.84
12391,21,259,2773.42,79.01,87.58,78.76,81.27
12392,591,7,234.75,6.74,7.81,16.37,12.53
12393,72,106,2399.45,55.35,69.4,75.97,71.04
12394,63,25,1080.48,58.53,29.8,56.24,49.18
12395,19,227,4551.27,80.0,85.31,87.7,85.87
12396,674,65,931.43,2.48,56.46,51.71,45.65
12397,35,124,2214.9,69.46,72.87,74.23,73.14
12398,45,84,1435.66,65.05,63.56,64.1,64.09
12399,119,103,1842.3,47.04,68.68,70.27,66.34
12400,414,11,205.25,19.17,13.32,13.68,14.4
12401,303,4,69.3,30.42,4.04,1.79,6.72
12402,323,64,1136.9,28.93,56.05,57.71,52.93
12403,49,7,947.36,63.98,7.81,52.34,41.62
12405,148,53,1390.39,44.16,50.85,63.26,56.92
12406,22,165,6390.36,78.0,79.31,91.71,86.18
12407,49,72,1507.12,63.98,59.38,65.05,63.3
12408,32,152,3905.77,70.68,77.61,85.25,80.93
12409,78,264,23419.29,53.46,87.9,98.68,88.88
12410,308,38,773.71,30.14,41.08,45.88,42.18
12411,409,22,346.9,19.93,26.64,25.09,24.75
12412,74,121,2404.93,54.56,72.23,76.04,71.75
12413,66,48,871.45,57.08,47.9,49.71,50.31
12414,217,22,532.41,37.33,26.64,36.21,33.7
12415,24,922,144033.37,76.03,98.55,99.85,95.91
12416,656,11,202.56,3.29,13.32,13.43,11.88
12417,3,350,6017.91,95.6,92.0,91.1,92.03
12418,112,102,2021.2,47.93,68.45,72.2,67.51
12419,385,23,391.01,23.74,27.7,28.69,27.67
12420,63,29,600.39,58.53,33.69,39.29,40.61
12421,15,59,874.6,84.24,53.67,49.81,56.06
12422,95,162,3639.35,50.05,78.96,84.09,77.55
12423,0,155,2301.39,100.0,78.08,75.1,79.67
12424,162,92,3340.03,42.66,65.96,82.52,71.9
12425,78,91,1741.41,53.46,65.62,68.76,65.59
12426,194,75,1201.21,39.42,60.4,59.31,56.63
12427,21,28,949.3,79.01,32.66,52.48,50.91
12428,25,287,6405.26,75.21,89.12,91.78,88.55
12429,9,150,6979.91,89.18,77.33,92.72,87.88
12430,43,10,216.4,65.96,11.83,14.69,21.58
12431,35,385,10527.97,69.46,93.18,95.81,91.12
12432,42,107,4359.32,66.38,69.66,86.89,78.99
12433,0,559,20581.26,100.0,96.16,98.38,98.0
12434,84,70,1103.43,52.17,58.52,56.89,56.64
12435,79,112,13925.93,53.08,70.74,97.21,83.18
12436,99,15,429.01,49.55,18.32,31.25,30.38
12437,1,529,11282.4,98.82,95.85,96.1,96.44
12438,14,96,2466.85,85.13,67.09,76.54,75.18
12439,682,71,1158.18,2.11,58.95,58.15,49.97
12440,462,30,739.2,14.1,34.62,44.91,37.41
12441,366,10,311.1,27.02,11.83,22.1,19.96
12442,3,11,144.06,95.6,13.32,7.91,22.58
12443,732,20,365.31,0.58,24.59,26.71,22.2
12444,21,172,4085.46,79.01,80.21,85.94,83.3
12445,22,23,378.98,78.0,27.7,27.56,35.17
12446,57,57,1002.31,60.75,52.73,53.9,54.6
12447,243,25,431.49,35.17,29.8,31.37,31.5
12448,44,21,365.45,65.48,25.62,26.73,32.23
12449,22,196,4274.89,78.0,82.64,86.57,84.18
12450,156,37,688.2,43.29,40.31,43.1,42.35
12451,10,510,12629.88,87.92,95.59,96.75,95.1
12452,16,20,348.57,83.19,24.59,25.21,33.73
12453,134,43,707.09,45.38,44.73,43.76,44.28
12454,56,39,16459.78,61.2,41.83,97.81,76.65
12455,73,220,5722.95,54.93,84.71,90.6,83.6
12456,44,122,2581.04,65.48,72.47,77.51,74.3
12457,66,80,2555.91,57.08,62.26,77.19,69.99
12458,71,80,1502.49,55.84,62.26,64.99,62.85
12459,605,22,398.36,5.84,26.64,29.1,24.92
12460,456,17,296.65,14.46,20.78,20.49,19.67
12461,154,34,626.88,43.61,37.94,40.55,40.28
12462,18,60,937.59,80.97,54.17,51.88,56.88
12463,53,79,1200.78,61.89,61.81,59.3,60.39
12464,10,22,957.05,87.92,26.64,52.68,50.68
12465,17,45,682.19,82.05,46.1,42.72,49.56
12467,423,9,132.8,17.81,10.38,6.75,9.43
12468,187,145,3238.74,40.03,76.67,81.92,74.17
12469,522,76,3070.54,10.41,60.77,80.79,64.63
12470,689,23,211.95,1.8,27.7,14.32,16.19
12471,2,1087,35145.5,97.17,99.09,99.18,98.85
12472,32,822,16494.59,70.68,98.22,97.83,93.87
12473,53,160,2596.23,61.89,78.8,77.65,75.61
12474,17,681,11362.45,82.05,97.28,96.19,94.37
12475,53,59,1065.64,61.89,53.67,55.81,56.12
12476,15,497,12351.41,84.24,95.4,96.63,94.43
12477,22,564,20276.37,78.0,96.23,98.34,94.7
12478,3,35,545.99,95.6,38.89,36.94,46.29
12479,11,30,473.2,86.73,34.62,33.58,41.84
12480,28,235,4834.85,73.75,86.09,88.5,85.61
12481,22,368,11191.39,78.0,92.72,96.07,92.42
12482,576,202,21941.72,7.61,83.31,98.51,80.62
12483,17,122,4092.58,82.05,72.47,85.97,81.6
12484,35,445,5573.15,69.46,94.51,90.09,88.23
12485,529,34,708.1,10.15,37.94,43.81,37.12
12486,431,48,917.28,16.65,47.9,51.11,45.04
12487,730,2,285.3,0.78,2.16,19.74,11.97
12488,9,54,1244.66,89.18,51.38,60.24,62.1
12489,336,14,298.93,28.22,17.13,20.64,20.8
12490,5,441,8764.64,92.78,94.4,94.41,94.16
12491,38,24,424.4,67.87,28.77,30.98,35.9
12492,63,39,607.21,58.53,41.83,39.73,43.14
12493,165,20,379.74,42.36,24.59,27.63,28.99
12494,15,100,1602.87,84.24,67.96,66.66,69.66
12495,640,16,277.4,4.09,19.57,19.21,17.04
12496,620,10,54.09,5.19,11.83,1.25,4.8
12497,81,55,5996.5,52.55,51.85,91.06,74.31
12498,21,21,349.7,79.01,25.62,25.38,33.5
12499,560,26,357.72,8.47,30.75,26.04,24.72
12500,23,130,5559.21,76.96,74.09,90.05,83.62
12501,336,148,2025.39,28.22,77.02,72.23,66.97
12502,95,142,2995.87,50.05,76.2,80.3,74.61
12503,584,1,896.0,7.04,0.86,50.34,29.99
12504,18,17,689.05,80.97,20.78,43.13,42.55
12505,408,41,787.2,20.12,43.2,46.62,41.69
12506,232,23,73.5,36.38,27.7,2.02,14.37
